Name,VRM_Category__c,VRM_SubCategory__c,VRM_Failure_Resolution_Code__c,WOD_2__Status__c,VRM_External_Id__c
FaultCode1,Ancillary,Ancillary Valves,Coil Failure-Replace Component-1hr,Active,Ancillary-Ancillary Valves-Coil Failure-Replace Component-1hr
FaultCode2,Ancillary,Ancillary Valves,Mis-manufactured-Replace Component-1hr,Active,Ancillary-Ancillary Valves-Mis-manufactured-Replace Component-1hr
FaultCode3,Ancillary,Ancillary Valves,Leaking-Replace Component-1hr,Active,Ancillary-Ancillary Valves-Leaking-Replace Component-1hr
FaultCode4,Ancillary,Ancillary Valves,Won't close-Replace Component-1hr,Active,Ancillary-Ancillary Valves-Won't close-Replace Component-1hr
FaultCode5,Ancillary,Ancillary Valves,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Ancillary Valves-Other - Fill in Comments-Replace Component-1hr
FaultCode6,Ancillary,Ancillary Valves,Part Dimensions Incorrect-Replace Component-1hr,Active,Ancillary-Ancillary Valves-Part Dimensions Incorrect-Replace Component-1hr
FaultCode7,Ancillary,Ancillary Valves,Shipment Damage-Replace Component-0hr,Active,Ancillary-Ancillary Valves-Shipment Damage-Replace Component-0hr
FaultCode8,Ancillary,Butterfly Valves,Coil Failure-Replace Component-1hr,Active,Ancillary-Butterfly Valves-Coil Failure-Replace Component-1hr
FaultCode9,Ancillary,Butterfly Valves,Leaking-Replace Component-1hr,Active,Ancillary-Butterfly Valves-Leaking-Replace Component-1hr
FaultCode10,Ancillary,Butterfly Valves,Won't close-Replace Component-1hr,Active,Ancillary-Butterfly Valves-Won't close-Replace Component-1hr
FaultCode11,Ancillary,Butterfly Valves,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Butterfly Valves-Other - Fill in Comments-Replace Component-1hr
FaultCode12,Ancillary,Butterfly Valves,Shipment Damage-Replace Component-0hr,Active,Ancillary-Butterfly Valves-Shipment Damage-Replace Component-0hr
FaultCode13,Ancillary,Control Valves,Coil Failure-Replace Component-1hr,Active,Ancillary-Control Valves-Coil Failure-Replace Component-1hr
FaultCode14,Ancillary,Control Valves,Leaking-Replace Component-1hr,Active,Ancillary-Control Valves-Leaking-Replace Component-1hr
FaultCode15,Ancillary,Control Valves,Won't close-Replace Component-1hr,Active,Ancillary-Control Valves-Won't close-Replace Component-1hr
FaultCode16,Ancillary,Control Valves,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Control Valves-Other - Fill in Comments-Replace Component-1hr
FaultCode17,Ancillary,Control Valves,Shipment Damage-Replace Component-0hr,Active,Ancillary-Control Valves-Shipment Damage-Replace Component-0hr
FaultCode18,Ancillary,Control Valves,Will Not Rotate-Replace Component-1.5hr,Active,Ancillary-Control Valves-Will Not Rotate-Replace Component-1.5hr
FaultCode19,Ancillary,Disconnect Panels,Calibration changed/out of spec-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Calibration changed/out of spec-Replace Component-1hr
FaultCode20,Ancillary,Disconnect Panels,Contact Points Burned-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Contact Points Burned-Replace Component-1hr
FaultCode21,Ancillary,Disconnect Panels,Contactor Chattering-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Contactor Chattering-Replace Component-1hr
FaultCode22,Ancillary,Disconnect Panels,Contactor Locked in-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Contactor Locked in-Replace Component-1hr
FaultCode23,Ancillary,Disconnect Panels,Contactor not pulling in-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Contactor not pulling in-Replace Component-1hr
FaultCode24,Ancillary,Disconnect Panels,Disconnect Switch Fails Closed-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Disconnect Switch Fails Closed-Replace Component-1hr
FaultCode25,Ancillary,Disconnect Panels,Disconnect Switch Fails Open-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Disconnect Switch Fails Open-Replace Component-1hr
FaultCode26,Ancillary,Disconnect Panels,Electrical Component Failure-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Electrical Component Failure-Replace Component-1hr
FaultCode27,Ancillary,Disconnect Panels,Electrical Specs Not Met-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Electrical Specs Not Met-Replace Component-1hr
FaultCode28,Ancillary,Disconnect Panels,Fuse Block Defective-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Fuse Block Defective-Replace Component-1hr
FaultCode29,Ancillary,Disconnect Panels,Grounding Block Defective-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Grounding Block Defective-Replace Component-1hr
FaultCode30,Ancillary,Disconnect Panels,Housing Damaged-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Housing Damaged-Replace Component-1hr
FaultCode31,Ancillary,Disconnect Panels,Intermittent Operations-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Intermittent Operations-Replace Component-1hr
FaultCode32,Ancillary,Disconnect Panels,Leads corroded/broken-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Leads corroded/broken-Replace Component-1hr
FaultCode33,Ancillary,Disconnect Panels,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Disconnect Panels-Other - Fill in Comments-Replace Component-1hr
FaultCode34,Ancillary,Disconnect Panels,Shipment Damage-Replace Component-0hr,Active,Ancillary-Disconnect Panels-Shipment Damage-Replace Component-0hr
FaultCode35,Ancillary,Fertigation and Chemigation,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Fertigation and Chemigation-Other - Fill in Comments-Replace Component-1hr
FaultCode36,Ancillary,Fertigation and Chemigation,Shipment Damage-Replace Component-0hr,Active,Ancillary-Fertigation and Chemigation-Shipment Damage-Replace Component-0hr
FaultCode37,Ancillary,Fertigation and Chemigation,Mis-manufactured-Replace Component-1hr,Active,Ancillary-Fertigation and Chemigation-Mis-manufactured-Replace Component-1hr
FaultCode38,Ancillary,Flowmeters,Cracked Liner-Replace Component-1hr,Active,Ancillary-Flowmeters-Cracked Liner-Replace Component-1hr
FaultCode39,Ancillary,Flowmeters,Electrical Component Failure-Replace Component-1hr,Active,Ancillary-Flowmeters-Electrical Component Failure-Replace Component-1hr
FaultCode40,Ancillary,Flowmeters,Flow not registering-Replace Component-1hr,Active,Ancillary-Flowmeters-Flow not registering-Replace Component-1hr
FaultCode41,Ancillary,Flowmeters,Head Filling with Water-Replace Component-1hr,Active,Ancillary-Flowmeters-Head Filling with Water-Replace Component-1hr
FaultCode42,Ancillary,Flowmeters,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Flowmeters-Other - Fill in Comments-Replace Component-1hr
FaultCode43,Ancillary,Flowmeters,Signal Weak-Replace Component-1hr,Active,Ancillary-Flowmeters-Signal Weak-Replace Component-1hr
FaultCode44,Ancillary,Generators and Engines,Contact Warranty Department - Not within-Contact Warranty Department-0hr,Active,Ancillary-Generators and Engines-Contact Warranty Department - Not within-Contact Warranty Department-0hr
FaultCode45,Ancillary,Phase Converters,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Phase Converters-Other - Fill in Comments-Replace Component-1hr
FaultCode46,Ancillary,Phase Converters,Shipment Damage-Replace Component-0hr,Active,Ancillary-Phase Converters-Shipment Damage-Replace Component-0hr
FaultCode47,Ancillary,Phase Converters,Mis-manufactured-Replace Component-1hr,Active,Ancillary-Phase Converters-Mis-manufactured-Replace Component-1hr
FaultCode48,Ancillary,Pump Panels,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Pump Panels-Other - Fill in Comments-Replace Component-1hr
FaultCode49,Ancillary,Pump Panels,Shipment Damage-Replace Component-0hr,Active,Ancillary-Pump Panels-Shipment Damage-Replace Component-0hr
FaultCode50,Ancillary,Pump Panels,Mis-manufactured-Replace Component-1hr,Active,Ancillary-Pump Panels-Mis-manufactured-Replace Component-1hr
FaultCode51,Ancillary,Pumping Options,Contact Warranty Department - Not within-Contact Warranty Department-0hr,Active,Ancillary-Pumping Options-Contact Warranty Department - Not within-Contact Warranty Department-0hr
FaultCode52,Ancillary,Ring Lock Fittings,Hose Pulled off-Replace Component-2hr,Active,Ancillary-Ring Lock Fittings-Hose Pulled off-Replace Component-2hr
FaultCode53,Ancillary,Ring Lock Fittings,Hose Split-Replace Component-2hr,Active,Ancillary-Ring Lock Fittings-Hose Split-Replace Component-2hr
