Name,CurrencyIsoCode,tvnt__Is_Mandatory__c,tvnt__Question__c,tvnt__Response_Type__c,tvnt__Response__c,tvnt__Sequence__c,tvnt__Type__c,tvnt__Response_Input_Type__c
Frequency / Time of Occurrence,USD,True,<p>Frequency / Time of Occurrence</p>,Number,,8.0,,
Claim Number,USD,False,<p>Claim #</p>,Text,,1.0,,
Part Number,USD,False,<p>Part #</p>,Text,,2.0,,
Parent Order Number,USD,True,<p>Parent Order #</p>,Text,,3.0,,
Date Installed,USD,True,<p>Date Installed (Month/Year)</p>,Date,,4.0,,
Hours on Module,USD,True,<p>Hours on Module</p>,Number,,5.0,,
Tech Name,USD,True,<p>Tech Name (Who Performed Field Service)</p>,Text,,6.0,,
External Temperature at Time of Failure,USD,True,<p>External Temperature at Time of Failure</p>,Number,,7.0,,
A-B-A Swap Method Confirmation,USD,False,"<p><span style=""background-color: rgb(255, 255, 255); font-size: 14px;"">A-B-A Swap Method Confirmation</span></p><p><span style=""font-size: 14px;"">The A‑B Swap Method is a simple cross‑check test, which can confirm the observed issue is not systemic. </span></p><p><span style=""font-size: 14px;"">1. Replace the suspected component (A) from the original failing panel.</span></p><p><span style=""font-size: 14px;"">2. Replace the suspected component (A) with a known good component (B) and check if the hte panel now working properly.</span></p><p><span style=""font-size: 14px;"">3. Replace known good component (B) with original component (A), see if the same failure occurs.</span></p><p><span style=""font-size: 14px;"">4. if failure reoccurs reinstall component (B) if the failure does not repeat keep component (A) installed and continue troubleshooting.</span></p>",Multi Select,Please check this checkbox for A-B-A Swap Method Confirmation,9.0,,Checkbox
Dealer Valley Service Dept. Service Case Number,USD,False,<p>Dealer Valley Service Dept. Service Case Number</p>,Text,,10.0,,
Description of Failure,USD,False,<p>Description of Failure</p>,Text Area,,11.0,,
Failure Code (Screen / Software / Hardware),USD,True,<p>Failure Code</p>,Single Select,"Screen
Software
Hardware",12.0,,Picklist
