Id,Name
a83cf0000002qNVAAY,Coil Failure
a83cf0000002qNWAAY,Mis-manufactured
a83cf0000002qNXAAY,Leaking
a83cf0000002qNYAAY,Won't close
a83cf0000002qNZAAY,Other -- Fill in Comments
a83cf0000002qNaAAI,Part Dimensions Incorrect
a83cf0000002qNbAAI,Shipment Damage
a83cf0000002qNcAAI,Will Not Rotate
a83cf0000002qNdAAI,Calibration changed/out of spec
a83cf0000002qNeAAI,Contact Points Burned
a83cf0000002qNfAAI,Contactor Chattering
a83cf0000002qNgAAI,Contactor Locked in
a83cf0000002qNhAAI,Contactor not pulling in
a83cf0000002qNiAAI,Disconnect Switch Fails Closed
a83cf0000002qNjAAI,Disconnect Switch Fails Open
a83cf0000002qNkAAI,Electrical Component Failure
a83cf0000002qNlAAI,Electrical Specs Not Met
a83cf0000002qNmAAI,Fuse Block Defective
a83cf0000002qNnAAI,Grounding Block Defective
a83cf0000002qNoAAI,Housing Damaged
a83cf0000002qNpAAI,Intermittent Operations
a83cf0000002qNqAAI,Leads corroded/broken
a83cf0000002qNrAAI,Cracked Liner
a83cf0000002qNsAAI,Flow not registering
a83cf0000002qNtAAI,Head Filling with Water
a83cf0000002qNuAAI,Signal Weak
a83cf0000002qNvAAI,Contact Warranty Department - Not within
a83cf0000002qNwAAI,Hose Pulled off
a83cf0000002qNxAAI,Hose Split
a83cf0000002qNyAAI,Insufficient Clamping Force
a83cf0000002qNzAAI,Ultraviolet Degradation
a83cf0000002qO0AAI,Dent in Pipe
a83cf0000002qO1AAI,Finish Appearance Faulty
a83cf0000002qO2AAI,Flanges not Square
a83cf0000002qO3AAI,Flanges Out of Time
a83cf0000002qO4AAI,Galvanizing Bare Spots
a83cf0000002qO5AAI,Galvanizing Quality
a83cf0000002qO6AAI,Hitch ball bolt failed
a83cf0000002qO7AAI,Hole in Pipe
a83cf0000002qO8AAI,Seam Split
a83cf0000002qO9AAI,Galvanizing Excessive
a83cf0000002qOAAAY,Weld Failure
a83cf0000002qOBAAY,Weld Missing
a83cf0000002qOCAAY,Plug Removal
a83cf0000002qODAAY,Communication Failure
a83cf0000002qOEAAY,5 Volt Power Supply
a83cf0000002qOFAAY,Backlight Failure
a83cf0000002qOGAAY,Cold Solder Joint
a83cf0000002qOHAAY,Display Failure
a83cf0000002qOIAAY,Encoder Failure
a83cf0000002qOJAAY,External Connection Failure
a83cf0000002qOKAAY,Harness Failure
a83cf0000002qOLAAY,Keypad Failure
a83cf0000002qOMAAY,PCB Cracked
a83cf0000002qONAAY,Percent timer runs at 100% at all times
a83cf0000002qOOAAY,Pressure Reading Incorrect
a83cf0000002qOPAAY,Relay Failure
a83cf0000002qOQAAY,Screen Failure
a83cf0000002qORAAY,Trace Failure
a83cf0000002qOSAAY,Voltage Display Inconsistent
a83cf0000002qOTAAY,Cable End Failure
a83cf0000002qOUAAY,Excessive Steering
a83cf0000002qOVAAY,Inconsistent Position
a83cf0000002qOWAAY,Incorrect Resistance Reading
a83cf0000002qOXAAY,Resolver Input Error
a83cf0000002qOYAAY,Resolver Volts Incorrect
a83cf0000002qOZAAY,Won't Break Safety
a83cf0000002qOaAAI,Won't Hold Safety
a83cf0000002qObAAI,Won't Steer Forward
